insertId,jsonPayload.levelname,jsonPayload.message,jsonPayload.name,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
1rjylbdcgcn,,,,,,,,,,,,projects/qpecs-jakub/logs/ml.googleapis.com%2Fexp16,2021-10-23T19:44:52.534701583Z,exp16,qpecs-jakub,service,ml_job,INFO,Job completed successfully.,2021-10-23T19:44:51.778880551Z
1bglhxvfa0nsaq,INFO,"INFO:Task completed. Exit code (0). Exit reason (SUCCEEDED)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.603581799Z
1bglhxvfa0nsap,INFO,"('Inception', 128, 7.978573799133301)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362854566Z
1bglhxvfa0nsao,INFO,"('Inception', 128, 7.974623680114746)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362849194Z
1bglhxvfa0nsan,INFO,"('Inception', 128, 7.937098979949951)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362840877Z
1bglhxvfa0nsam,INFO,"('Resnet', 128, 5.008264064788818)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362836805Z
1bglhxvfa0nsal,INFO,"('Resnet', 128, 5.04656195640564)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362832515Z
1bglhxvfa0nsak,INFO,"('Resnet', 128, 5.0456764698028564)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362828504Z
1bglhxvfa0nsaj,INFO,"('Inception', 96, 7.3752946853637695)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362825499Z
1bglhxvfa0nsai,INFO,"('Inception', 96, 7.386451244354248)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362822657Z
1bglhxvfa0nsah,INFO,"('Inception', 96, 7.378936767578125)
",,8439668309600361609,cmle-training-3252176288584741340,us-central1-c,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T19:41:50.406920888Z,exp16,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T19:41:48.362819814Z
