insertId,jsonPayload.levelname,jsonPayload.message,jsonPayload.name,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
ofe9tecoed,,,,,,,,,,,,projects/qpecs-jakub/logs/ml.googleapis.com%2Fexp3P100,2021-10-24T09:46:36.719341310Z,exp3P100,qpecs-jakub,service,ml_job,INFO,Job completed successfully.,2021-10-24T09:46:36.374041390Z
efwmlnf70a6nf,INFO,"INFO:Task completed. Exit code (0). Exit reason (SUCCEEDED)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.665605735Z
efwmlnf70a6ne,INFO,"('dcgan', 128, 0.828876256942749)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493409011Z
efwmlnf70a6nd,INFO,"('dcgan', 128, 0.7962212562561035)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493404272Z
efwmlnf70a6nc,INFO,"('dcgan', 128, 0.796154260635376)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493399664Z
efwmlnf70a6nb,INFO,"('Resnet', 128, 0.8350119590759277)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493394548Z
efwmlnf70a6na,INFO,"('Resnet', 128, 0.8425247669219971)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493389969Z
efwmlnf70a6n9,INFO,"('Resnet', 128, 0.8628218173980713)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493385372Z
efwmlnf70a6n8,INFO,"('dcgan', 96, 0.7023742198944092)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493380719Z
efwmlnf70a6n7,INFO,"('dcgan', 96, 0.8365797996520996)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493375718Z
efwmlnf70a6n6,INFO,"('dcgan', 96, 0.7144081592559814)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493365212Z
efwmlnf70a6n5,INFO,"('Resnet', 96, 0.7609140872955322)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493359375Z
efwmlnf70a6n4,INFO,"('Resnet', 96, 0.7630763053894043)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493354131Z
efwmlnf70a6n3,INFO,"('Resnet', 96, 0.7781331539154053)
",,8827784171764618953,cmle-training-6812532021628843492,us-central1-f,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T09:44:25.961534616Z,exp3P100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T09:44:22.493349120Z
