insertId,jsonPayload.levelname,jsonPayload.message,jsonPayload.name,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
1j8cbracnoy,,,,,,,,,,,,projects/qpecs-jakub/logs/ml.googleapis.com%2Fexp3V100,2021-10-24T10:09:34.504914081Z,exp3V100,qpecs-jakub,service,ml_job,INFO,Job completed successfully.,2021-10-24T10:09:33.615670900Z
vd1iykg5uzs4cm,INFO,"INFO:Task completed. Exit code (0). Exit reason (SUCCEEDED)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.406106122Z
vd1iykg5uzs4cl,INFO,"('dcgan', 128, 0.8851666450500488)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196739115Z
vd1iykg5uzs4ck,INFO,"('dcgan', 128, 0.8754546642303467)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196734303Z
vd1iykg5uzs4cj,INFO,"('dcgan', 128, 0.8957741260528564)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196729230Z
vd1iykg5uzs4ci,INFO,"('Resnet', 128, 0.5925071239471436)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196724148Z
vd1iykg5uzs4ch,INFO,"('Resnet', 128, 0.5998919010162354)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196719455Z
vd1iykg5uzs4cg,INFO,"('Resnet', 128, 0.6146013736724854)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196714161Z
vd1iykg5uzs4cf,INFO,"('dcgan', 96, 0.9571514129638672)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196709762Z
vd1iykg5uzs4ce,INFO,"('dcgan', 96, 0.9547226428985596)
",,4631100485004727113,cmle-training-13916163807859418182,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:07:15.733115864Z,exp3V100,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:07:12.196704878Z
