insertId,jsonPayload.levelname,jsonPayload.message,jsonPayload.name,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
usularchov,,,,,,,,,,,,projects/qpecs-jakub/logs/ml.googleapis.com%2Fexp3T4,2021-10-24T10:09:05.561243414Z,exp3T4,qpecs-jakub,service,ml_job,INFO,Job completed successfully.,2021-10-24T10:09:04.893631379Z
b3w58xg65qrbkp,INFO,"INFO:Task completed. Exit code (0). Exit reason (SUCCEEDED)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.346626131Z
b3w58xg65qrbko,INFO,"('dcgan', 128, 1.6230978965759277)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145701430Z
b3w58xg65qrbkn,INFO,"('dcgan', 128, 1.615325689315796)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145698474Z
b3w58xg65qrbkm,INFO,"('dcgan', 128, 1.6199305057525635)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145695534Z
b3w58xg65qrbkl,INFO,"('Resnet', 128, 1.308953046798706)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145692509Z
b3w58xg65qrbkk,INFO,"('Resnet', 128, 1.3227674961090088)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145689541Z
b3w58xg65qrbkj,INFO,"('Resnet', 128, 1.3607535362243652)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145686558Z
b3w58xg65qrbki,INFO,"('dcgan', 96, 1.4134690761566162)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145683605Z
b3w58xg65qrbkh,INFO,"('dcgan', 96, 1.4121339321136475)
",,3262200743122736105,cmle-training-784952370485209087,us-central1-b,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-24T10:06:39.439077873Z,exp3T4,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-24T10:06:36.145679861Z
