insertId,jsonPayload.levelname,jsonPayload.message,jsonPayload.name,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
whanzhcbdy,,,,,,,,,,,,projects/qpecs-jakub/logs/ml.googleapis.com%2Fv100exp18,2021-10-23T21:01:41.312232110Z,v100exp18,qpecs-jakub,service,ml_job,INFO,Job completed successfully.,2021-10-23T21:01:40.729785027Z
crw545g5sf4755,INFO,"INFO:Task completed. Exit code (0). Exit reason (SUCCEEDED)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.465125368Z
crw545g5sf4754,INFO,"('Inception', 128, 4.17846155166626)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227868466Z
crw545g5sf4753,INFO,"('Inception', 128, 4.164363622665405)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227859912Z
crw545g5sf4752,INFO,"('Inception', 128, 4.1145548820495605)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227854785Z
crw545g5sf4751,INFO,"('Resnet', 128, 2.8306548595428467)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227848856Z
crw545g5sf4750,INFO,"('Resnet', 128, 2.8594937324523926)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227818886Z
crw545g5sf474z,INFO,"('Resnet', 128, 2.8456387519836426)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227814051Z
crw545g5sf474y,INFO,"('Inception', 96, 3.744241714477539)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227810322Z
crw545g5sf474x,INFO,"('Inception', 96, 3.7477784156799316)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227806977Z
crw545g5sf474w,INFO,"('Inception', 96, 3.7457375526428223)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227803630Z
crw545g5sf474v,INFO,"('Resnet', 96, 2.681648015975952)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227800415Z
crw545g5sf474u,INFO,"('Resnet', 96, 2.697669506072998)
",,2728802990786464274,cmle-training-10951767913391051289,us-central1-a,,root,,,,projects/qpecs-jakub/logs/master-replica-0,2021-10-23T20:59:25.045872817Z,v100exp18,qpecs-jakub,master-replica-0,ml_job,INFO,,2021-10-23T20:59:22.227797197Z
